Restaurant,Location,Cuisines,URL,Total_Items,Prices_List,Min_Price,Max_Price,Avg_Price,City
Burger King,"inSemouha,Egypt","Burgers, Fast Food",https://www.talabat.com/egypt/restaurant/679502/burger-king-semouha?aid=7177,83,"[275.0, 110.0, 299.0, 110.0, 70.0, 205.0, 219.0, 219.0, 299.0, 219.0, 375.0, 275.0, 299.0, 219.0, 219.0, 299.0, 219.0, 310.0, 310.0, 375.0, 260.0, 300.0, 299.0, 400.0, 309.0, 360.0, 219.0, 205.0, 429.0, 460.0, 299.0, 380.0, 309.0, 309.0, 275.0, 259.0, 159.0, 470.0, 360.0, 110.0, 100.0, 60.0, 80.0, 90.0, 150.0, 110.0, 130.0, 60.0, 25.0, 60.0, 60.0, 55.0, 25.0, 25.0, 60.0, 70.0, 70.0, 340.0, 369.0, 400.0, 410.0, 300.0, 250.0, 250.0, 249.0, 249.0, 320.0, 199.0, 215.0, 239.0, 99.0, 60.0, 70.0, 249.0, 239.0, 159.0, 145.0, 140.0, 120.0, 140.0, 140.0]",25.0,470.0,218.23456790123456,alexandria
AVE Cafe,"inBab Sharq,Egypt",coffee & tea,https://www.talabat.com/egypt/restaurant/778718/ave-cafe-el-hadara?aid=7177,47,"[220.0, 285.0, 285.0, 285.0, 285.0, 285.0, 285.0, 285.0, 285.0, 285.0, 285.0, 285.0, 285.0, 205.0, 250.0, 160.0, 160.0, 150.0, 185.0, 170.0, 160.0, 160.0, 150.0, 140.0, 150.0, 185.0, 220.0, 220.0, 180.0, 180.0, 185.0, 220.0, 250.0, 285.0, 285.0, 250.0, 70.0, 115.0]",70.0,285.0,219.07894736842104,alexandria
Papa John's Pizza,"inAnwar El Sadat,Egypt","Pizza, Fast Food, Pizza",https://www.talabat.com/egypt/restaurant/502903/papa-johns-pizza--raml-station?aid=7177,72,"[200.0, 520.0, 300.0, 460.0, 460.0, 420.0, 625.01, 170.0, 120.0, 200.0, 130.01, 200.0, 170.0, 165.0, 86.0, 111.0, 56.0, 188.0, 165.0, 165.0, 95.0, 135.0, 218.0, 218.0, 218.0, 188.0, 188.0, 165.0, 135.0, 135.0, 10.0, 2.0, 110.0, 79.0, 95.0, 25.0, 60.0, 35.0, 20.0]",2.0,625.01,180.5646153846154,alexandria
Buffalo Burger,"inMostafa Kamel,Egypt","Burgers, Sandwiches",https://www.talabat.com/egypt/restaurant/503415/buffalo-burger-mostafa-kamel--tgo?aid=7177,82,"[326.0, 189.0, 525.0, 189.0, 265.0, 525.0, 950.0, 189.0, 299.0, 225.0, 162.0, 162.0, 167.0, 183.0, 183.0, 224.0, 224.0, 250.0, 250.0, 255.0, 271.0, 271.0, 312.0, 312.0, 227.0, 252.0, 226.0, 221.0, 274.0, 281.0, 222.0, 252.0, 227.0, 287.0, 276.0, 216.0, 238.0, 315.0, 340.0, 314.0, 309.0, 362.0, 369.0, 310.0, 340.0, 315.0, 375.0, 364.0, 304.0, 326.0, 305.0, 210.0, 225.0, 210.0, 270.0, 298.0, 313.0, 298.0, 358.0, 260.0, 138.0, 63.0, 68.0, 112.0, 87.0, 106.0, 149.0, 113.0, 49.0, 113.0, 15.0, 30.0, 15.0, 15.0, 15.0, 3.0, 15.0, 10.0, 110.0, 110.0, 16.0, 42.0]",3.0,950.0,226.71951219512195,alexandria
Pastaweesy,"inMostafa Kamel,Egypt","Pasta, Sandwiches, Sandwiches, Burgers",https://www.talabat.com/egypt/restaurant/502291/pastaweesy-mostafa-kamel?aid=7177,79,"[55.0, 32.0, 741.0, 213.0, 281.0, 271.0, 321.0, 147.0, 211.0, 789.0, 284.0, 259.0, 741.0, 213.0, 281.0, 271.0, 321.0, 147.0, 211.0, 789.0, 284.0, 259.0, 290.0, 620.0, 347.0, 420.0, 125.0, 140.0, 125.0, 135.0, 165.0, 15.0, 23.0, 118.0, 66.0, 15.0, 55.0, 108.0, 108.0, 69.0, 83.0, 79.0, 108.0, 15.0, 95.0, 84.0, 95.0, 95.0, 15.0, 23.0, 23.0, 32.0, 32.0, 32.0, 32.0]",15.0,789.0,198.3272727272727,alexandria
Sultan Ayub,"inAzarita,Egypt","Shawerma, Sandwiches, Grills, Chicken",https://www.talabat.com/egypt/restaurant/503672/sultan-ayub--azarita?aid=7177,113,"[45.98, 38.53, 274.85, 249.0, 249.0, 205.45, 230.0, 131.68, 136.85, 137.94, 243.22, 302.45, 159.45, 140.0, 217.5, 250.12, 159.45, 158.13, 498.18, 485.07, 485.07, 458.85, 319.0, 196.65, 546.25, 274.85, 723.35, 1540.0, 1625.0, 486.45, 423.0, 486.45, 741.0, 663.55, 626.75, 33.35, 38.53, 45.98, 38.53, 16.1, 40.83, 45.98, 52.32, 72.45, 71.3, 65.55, 131.1, 91.77, 68.4, 9.2, 9.2, 9.2, 20.13, 40.82, 35.65, 30.48, 9.2, 20.13, 59.23, 136.85, 45.98, 72.45, 72.45, 97.75, 59.23, 59.23, 45.6, 53.76, 14.95, 26.45, 30.0]",9.2,1625.0,220.83380281690145,alexandria
Osha Sushi,"inSidi Gaber,Egypt","Sushi, Chinese, Asian, Seafood",https://www.talabat.com/egypt/restaurant/734512/osha-sushi-sidi-gaber?aid=7177,175,"[550.0, 350.0, 280.0, 590.0, 185.0, 150.0, 550.0, 900.0, 1400.0, 350.0, 590.0, 899.0, 1249.0, 550.0, 900.0, 1400.0, 205.0, 185.0, 285.0, 265.0, 270.0, 250.0, 300.0, 230.0, 260.0, 270.0, 280.0, 275.0, 310.0, 295.0, 285.0, 205.0, 195.0, 170.0, 215.0, 230.0, 70.0, 60.0, 65.0, 50.0, 75.0, 150.0, 160.0, 135.0, 145.0, 145.0, 150.0, 115.0, 150.0, 280.0, 590.0, 799.0, 359.0, 439.0, 749.0, 1099.0, 1349.0, 1649.0, 1999.0, 170.0, 170.0, 170.0, 170.0, 170.0, 170.0, 155.0, 170.0, 160.0, 160.0, 160.0, 160.0, 160.0, 160.0, 160.0, 170.0, 170.0, 185.0, 150.0, 115.0, 150.0, 260.0, 260.0, 250.0, 185.0, 205.0, 250.0, 155.0, 175.0, 185.0, 195.0, 95.0, 120.0, 125.0, 230.0, 230.0, 95.0, 115.0, 115.0, 115.0, 125.0, 140.0, 40.0, 35.0, 47.0, 47.0, 47.0, 47.0, 52.0, 200.0, 239.0, 239.0, 250.0, 180.0, 250.0, 250.0, 240.0, 265.0, 40.0, 40.0, 40.0, 40.0, 40.0, 40.0, 40.0, 30.0, 30.0, 30.0, 66.0, 66.0, 66.0, 78.0, 48.0, 52.0, 58.0, 58.0, 58.0, 58.0, 64.0, 72.0, 58.0, 58.0, 60.0, 66.0, 70.0, 70.0, 76.0, 12.0, 48.0, 99.0]",12.0,1999.0,253.98657718120805,alexandria
Hadarmawot El Sultan,"inSemouha,Egypt","Grills, Mandi, Chicken, Arabic, Indian, Sandwiches",https://www.talabat.com/egypt/restaurant/626025/hadarmawot--semouhasemouha?aid=7177,127,"[330.0, 220.0, 87.0, 243.0, 400.0, 350.0, 350.0, 450.0, 455.0, 450.0, 290.0, 350.0, 450.0, 340.0, 375.0, 410.0, 220.0, 330.0, 240.0, 87.0, 243.0, 400.0, 350.0, 350.0, 450.0, 455.0, 450.0, 290.0, 350.0, 450.0, 340.0, 375.0, 410.0, 260.0, 290.0, 620.0, 520.0, 590.0, 800.0, 950.0, 1400.0, 1750.0, 2500.0, 2300.0, 3350.0, 4000.0, 220.0, 330.0, 520.0, 590.0, 190.0, 240.0, 275.0, 530.0, 600.0, 580.0, 650.0, 500.0, 190.0, 420.0, 440.0, 250.0, 520.0, 45.0, 45.0, 45.0, 75.0, 75.0, 85.0, 300.0, 90.0, 310.0, 87.0, 95.0, 90.0, 90.0, 190.0, 420.0, 400.0, 105.0, 105.0, 105.0, 105.0, 105.0, 125.0, 90.0, 70.0, 55.0, 60.0, 270.0, 45.0, 45.0, 25.0, 45.0, 45.0, 45.0, 45.0, 45.0, 35.0, 45.0, 45.0, 25.0, 35.0, 35.0, 50.0, 20.0, 30.0]",20.0,4000.0,392.6355140186916,alexandria
KFC,"inSemouha,Egypt","Fried chicken, Sandwiches, Fast Food, Chicken",https://www.talabat.com/egypt/restaurant/737012/kfc-semoha-kfctgo?aid=7177,117,"[109.0, 65.0, 40.0, 299.0, 110.0, 334.0, 288.0, 288.0, 375.0, 375.0, 299.0, 430.0, 630.0, 334.0, 240.0, 340.0, 510.0, 340.0, 255.0, 189.0, 210.0, 200.0, 240.0, 360.0, 446.0, 445.0, 535.0, 189.0, 255.0, 210.0, 180.0, 180.0, 288.0, 260.0, 288.0, 260.0, 375.0, 375.0, 299.0, 430.0, 630.0, 334.0, 240.0, 340.0, 510.0, 340.0, 255.0, 189.0, 210.0, 200.0, 240.0, 360.0, 294.0, 446.0, 445.0, 535.0, 399.0, 205.0, 350.0, 189.0, 695.0, 920.0, 545.0, 770.0, 725.0, 840.0, 950.0, 1055.0, 810.0, 660.0, 1025.0, 875.0, 629.0, 685.0, 255.0, 325.0, 149.0, 210.0, 215.0, 245.0, 250.0, 255.0, 285.0, 255.0, 155.0, 170.0, 155.0, 110.0, 110.0, 110.0, 205.0, 210.0, 210.0, 125.0, 125.0, 65.0, 40.0, 30.0, 60.0, 3.0, 90.0, 130.0, 110.0, 180.0, 109.0, 90.0, 90.0, 125.0, 65.0, 40.0, 7.0, 84.0, 84.0, 35.0, 35.0, 35.0, 34.0]",3.0,1055.0,302.9059829059829,alexandria
Harest El Halaby,"inManshia,Egypt","Arabic sweets, Desserts",https://www.talabat.com/egypt/restaurant/641112/harest-el-halaby-manshia?aid=7177,52,"[18.0, 210.0, 225.0, 225.0, 55.0, 75.0, 440.0, 500.0, 100.0, 18.0, 90.0, 60.0, 60.0, 35.0, 80.0, 100.0, 110.0, 110.0, 110.0, 110.0, 220.0]",18.0,500.0,140.52380952380952,alexandria
Hadramout,"inEl Hadara,Egypt","Grills, Mandi, Chicken",https://www.talabat.com/egypt/restaurant/513759/hadra-mout?aid=7177,125,"[330.0, 340.0, 440.0, 70.0, 25.0, 45.0, 510.0, 330.0, 630.0, 335.0, 630.0, 335.0, 630.0, 630.0, 340.0, 270.0, 410.0, 470.0, 265.0, 440.0, 440.0, 1600.0, 365.0, 455.0, 520.0, 530.0, 510.0, 330.0, 630.0, 80.0, 160.0, 335.0, 630.0, 335.0, 490.0, 80.0, 80.0, 630.0, 630.0, 340.0, 270.0, 260.0, 160.0, 235.0, 255.0, 410.0, 340.0, 280.0, 470.0, 410.0, 295.0, 355.0, 240.0, 265.0, 245.0, 245.0, 45.0, 45.0, 50.0, 65.0, 70.0, 70.0, 70.0, 70.0, 235.0, 235.0, 235.0, 480.0, 570.0, 1650.0, 110.0, 100.0, 90.0, 90.0, 130.0, 210.0, 310.0, 20.0, 25.0, 30.0, 30.0, 30.0, 40.0, 25.0, 30.0, 30.0, 40.0, 120.0, 120.0, 110.0, 100.0, 95.0, 95.0, 470.0, 530.0, 780.0, 990.0, 1550.0, 2250.0, 2375.0, 3990.0, 990.0, 990.0, 950.0, 900.0, 760.0, 530.0, 530.0, 470.0, 440.0, 440.0, 195.0, 190.0, 15000.0, 11500.0, 5800.0, 3900.0, 1600.0, 30.0, 45.0, 30.0, 30.0, 30.0]",20.0,15000.0,695.4065040650406,alexandria
Demel,"inMoharam Bek,Egypt","Breakfast, coffee & tea, Pizza",https://www.talabat.com/egypt/restaurant/786111/demel-el-hadara?aid=7177,253,"[185.0, 185.0, 45.6, 172.0, 150.0, 107.16, 185.0, 185.0, 150.0, 45.6, 150.0, 130.0, 160.0, 160.0, 150.0, 150.0, 180.0, 131.1, 364.3, 116.28, 113.4, 119.7, 119.7, 132.3, 119.7, 119.7, 125.4, 159.6, 142.5, 142.5, 142.5, 131.1, 131.1, 150.0, 150.0, 160.0, 140.0, 170.0, 160.0, 160.0, 119.7, 119.7, 119.7, 119.7, 150.0, 180.0, 185.0, 185.0, 80.0, 74.1, 85.0, 80.0, 85.0, 90.0, 55.0, 90.0, 60.0, 80.0, 97.0, 96.9, 110.0, 200.0, 172.0, 172.0, 240.0, 150.0, 172.0, 155.0, 185.0, 165.9, 172.0, 172.0, 175.0, 150.0, 170.0, 175.0, 175.0, 175.0, 190.0, 190.0, 198.0, 198.1, 180.0, 182.4, 170.0, 172.0, 285.0, 313.5, 313.5, 336.3, 324.9, 319.2, 313.5, 313.5, 205.2, 193.8, 142.5, 182.4, 193.8, 193.8, 193.8, 150.0, 180.0, 200.0, 200.0, 207.0, 207.0, 215.0, 210.0, 215.0, 220.0, 215.0, 215.0, 170.0, 150.0, 252.0, 281.76, 281.76, 289.0, 171.0, 216.6, 45.6, 62.7, 136.8, 131.1, 171.0, 74.1, 119.7, 153.9, 131.1, 56.7, 69.3, 69.3, 69.3, 69.3, 69.3, 69.3, 69.3, 69.3, 69.3, 69.3, 69.3, 69.3, 69.3, 69.3, 88.0, 98.0, 88.0, 95.0, 102.0, 95.0, 95.0, 88.0, 80.0, 92.0, 92.0, 90.0, 85.0, 95.0, 108.3, 100.32, 108.3, 107.16, 119.7, 90.0, 85.0, 90.0, 85.0, 80.0, 96.9, 96.9, 85.5, 91.2, 108.3, 119.7, 108.3, 119.7, 125.4, 125.4, 108.3, 119.7, 125.4, 108.3, 125.4, 108.3, 108.3, 119.7, 119.7, 110.0, 55.0, 55.0, 55.0, 90.0, 90.0, 102.0, 102.0, 102.0, 102.0, 82.0, 102.0, 108.0, 108.0, 108.0, 98.0, 95.0, 102.0, 102.0, 90.0, 90.0, 102.0, 102.0, 80.0, 85.0, 85.0, 90.0, 92.0, 72.0, 72.0, 74.1, 92.0, 96.9, 96.0, 110.0, 98.0, 102.0, 108.0, 102.0, 108.0, 90.0, 102.6, 88.0, 95.0, 92.0, 95.0, 55.0, 55.0, 22.8, 25.08, 25.08, 25.08, 25.08, 29.64, 29.64, 29.64, 31.92, 60.0]",22.8,364.3,129.27601626016255,alexandria
Nutopia,"inRaml Station,Egypt","Desserts, Crepes, Waffles, Cakes",https://www.talabat.com/egypt/restaurant/508160/nutopia-raml-station?aid=7177,133,"[190.0, 100.0, 75.0, 125.0, 125.0, 170.0, 125.0, 160.0, 160.0, 160.0, 190.0, 160.0, 95.0, 65.0, 30.0, 190.0, 150.0, 440.0, 440.0, 315.0, 565.0, 150.0, 150.0, 190.0, 210.0, 190.0, 115.0, 165.0, 150.0, 170.0, 170.0, 200.0, 90.0, 100.0, 115.0, 150.0, 90.0, 125.0, 150.0, 190.0, 190.0, 190.0, 190.0, 125.0, 125.0, 150.0, 175.0, 150.0, 175.0, 115.0, 175.0, 215.0, 140.0, 140.0, 100.0, 75.0, 100.0, 175.0, 45.0, 45.0, 45.0, 65.0, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 125.0, 125.0, 125.0, 165.0, 165.0, 190.0, 115.0, 125.0, 115.0, 115.0, 150.0, 150.0, 150.0, 125.0, 46.74, 65.0, 65.0, 75.0, 75.0, 75.0, 175.0, 160.0, 95.0, 150.0, 150.0, 20.0]",20.0,565.0,142.674375,alexandria
Hardee's,"inCarrefour,Egypt","Burgers, Fast Food",https://www.talabat.com/egypt/restaurant/503087/hardees-carfour-alex-hard?aid=7177,101,"[214.0, 235.0, 130.0, 175.0, 204.0, 115.0, 264.0, 244.0, 344.0, 250.0, 418.0, 618.0, 915.0, 961.0, 305.0, 310.0, 331.0, 355.0, 355.0, 366.0, 199.0, 244.0, 199.0, 244.0, 210.0, 264.0, 244.0, 344.0, 250.0, 418.0, 618.0, 915.0, 961.0, 265.0, 235.0, 204.0, 245.0, 245.0, 220.0, 190.0, 159.0, 200.0, 200.0, 350.0, 300.0, 214.0, 175.0, 230.0, 218.0, 229.0, 275.0, 130.0, 169.0, 173.0, 184.0, 230.0, 340.0, 340.0, 255.0, 250.0, 315.0, 280.0, 210.0, 205.0, 160.0, 110.0, 155.0, 140.0, 105.0, 115.0, 95.0, 155.0, 110.0, 115.0, 115.0, 55.0, 35.0, 25.0, 25.0, 35.0, 25.0, 25.0, 115.0, 50.0, 65.0, 55.0, 85.0, 100.0, 120.0, 115.0, 45.0, 80.0, 99.0, 110.0, 35.0, 35.0, 35.0, 32.0, 35.0, 80.0, 80.0]",25.0,961.0,222.02970297029705,alexandria
Mo'men,"inRaml Station,Egypt","Sandwiches, Fish & Seafood, Burgers, Chicken",https://www.talabat.com/egypt/restaurant/502330/momen--raml-station?aid=7177,114,"[406.0, 430.0, 40.0, 250.0, 406.0, 980.0, 430.0, 250.0, 240.0, 333.0, 331.0, 339.0, 392.0, 500.0, 639.0, 531.0, 746.0, 800.0, 923.0, 406.0, 376.5, 427.5, 240.0, 980.0, 430.0, 250.0, 240.0, 333.0, 331.0, 339.0, 392.0, 500.0, 639.0, 531.0, 746.0, 800.0, 923.0, 451.0, 257.0, 257.0, 257.0, 182.0, 182.0, 194.0, 308.0, 63.0, 68.0, 302.0, 268.0, 250.0, 307.0, 250.0, 228.0, 57.0, 17.0, 17.0, 46.0, 137.0, 63.0, 86.0, 86.0, 74.0, 74.0, 80.0, 60.5, 17.0, 17.0, 17.0, 17.0, 19.0, 23.0, 17.0, 40.0, 63.0, 154.0, 97.0, 103.0, 131.0, 80.0, 29.0, 33.0, 33.0, 33.0, 33.0, 52.0, 27.0, 13.0]",13.0,980.0,270.3390804597701,alexandria
"Fast delivery of food, groceries and more",Location not found,Cuisines not found,https://www.talabat.com/egypt/restaurant/624994/costa-coffeefouad-street-tgo-?aid=7177,0,[],,,,alexandria
Pizza King,"inEL Ataren,Egypt","Pizza, Pasta, Pizza, Italian",https://www.talabat.com/egypt/restaurant/678299/pizza-king-raml-station-el-ataren?aid=7177,164,"[131.0, 60.0, 63.0, 51.0, 137.0, 330.0, 710.0, 356.0, 371.0, 363.0, 431.0, 631.0, 993.0, 1016.0, 246.0, 642.0, 400.0, 477.0, 554.0, 616.0, 862.0, 577.0, 662.0, 723.0, 816.0, 1108.0, 623.0, 731.0, 854.0, 1008.0, 1239.0, 585.0, 662.0, 739.0, 846.0, 1123.0, 330.0, 350.0, 356.0, 478.0, 710.0, 356.0, 371.0, 363.0, 431.0, 631.0, 993.0, 1016.0, 331.0, 246.0, 642.0, 251.0, 359.0, 336.0, 433.0, 400.0, 477.0, 554.0, 616.0, 862.0, 577.0, 662.0, 723.0, 816.0, 1108.0, 623.0, 731.0, 854.0, 1008.0, 1239.0, 585.0, 662.0, 739.0, 846.0, 1123.0, 165.0, 165.0, 188.0, 171.0, 103.0, 103.0, 160.0, 154.0, 154.0, 148.0, 143.0, 143.0, 143.0, 148.0, 148.0, 148.0, 148.0, 188.0, 188.0, 137.0, 60.0, 74.0, 74.0, 68.0, 80.0, 80.0, 63.0, 137.0, 91.0, 137.0, 63.0, 63.0, 40.0, 51.0, 131.0, 57.0, 46.0, 23.0, 19.0, 17.0, 17.0, 17.0, 14.0, 17.0, 80.0, 80.0, 80.0, 29.0, 33.0, 33.0, 33.0, 33.0, 52.0, 27.0]",14.0,1239.0,394.4806201550388,alexandria
Hadramout El Hadramy,"inSemouha,Egypt","Grills, Mandi, Egyptian, Sandwiches",https://www.talabat.com/egypt/restaurant/510114/hadramout-el-hadramy-semouha?aid=7177,162,"[28.5, 11.4, 150.0, 250.0, 250.0, 91.2, 5125.0, 5999.0, 4425.0, 7500.0, 870.0, 1500.0, 500.0, 1650.0, 1900.0, 160.0, 279.3, 280.0, 135.0, 135.0, 200.0, 350.0, 280.0, 300.0, 250.0, 2100.0, 1650.0, 1500.0, 2500.0, 825.0, 500.0, 2500.0, 1500.0, 1900.0, 1900.0, 500.0, 350.0, 250.0, 250.0, 300.0, 150.0, 280.0, 250.0, 300.0, 280.0, 300.0, 280.0, 400.0, 356.0, 256.5, 525.0, 641.0, 525.0, 200.0, 135.0, 250.0, 500.0, 500.0, 229.0, 135.0, 250.0, 500.0, 682.86, 340.86, 171.0, 940.5, 473.1, 238.26, 1476.3, 739.86, 370.5, 1111.5, 557.46, 279.3, 682.86, 340.86, 171.0, 484.5, 1111.5, 541.5, 3900.0, 5400.0, 4266.0, 6900.0, 3900.0, 9500.0, 18000.0, 79.8, 91.2, 91.2, 51.3, 55.86, 340.86, 340.86, 340.86, 96.9, 96.9, 741.0, 28.5, 222.3, 222.3, 222.3, 222.3, 142.5, 51.3, 51.3, 51.3, 150.0, 250.0, 500.0, 150.0, 250.0, 500.0, 250.0, 500.0, 525.0, 484.5, 564.3, 1453.5, 2907.0, 5814.0, 495.9, 609.9, 1453.5, 2907.0, 940.5, 473.1, 238.26, 7923.0, 5643.0, 5415.0, 4508.7, 5192.7, 3288.9, 4223.7, 4166.7, 4702.5, 4052.7, 3676.5, 4018.5, 3790.5, 1772.7, 1772.7, 1943.7, 1650.0, 1500.0, 700.0, 786.6, 450.3, 5842.5, 3078.0, 3306.0, 3420.0, 22.8, 22.8, 22.8, 28.5, 28.5, 28.5, 28.5, 22.8, 11.4]",11.4,18000.0,1438.0581481481483,alexandria
